telescope,filter,psf_case,psf_fwhm_arcsec,pixel_scale_arcsec,exposure_s,separation_arcsec,magnitude_each,n,n_detected,n_adequate,n_recovered,recovery_fraction,recovery_ci95_low,recovery_ci95_high,median_redchi,median_abs_separation_error_arcsec
DOT,I,good_site_seeing,0.7015762334958692,0.096,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9836222121861227,0.004242088683487438
DOT,I,good_site_seeing,0.7015762334958692,0.096,300,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9894026799997547,0.0030443286425075877
DOT,I,good_site_seeing,0.7015762334958692,0.096,300,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9791321974390521,0.0028936941774992953
DOT,I,good_site_seeing,0.7015762334958692,0.096,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9852436179923973,0.0017117162937848596
DOT,I,good_site_seeing,0.7015762334958692,0.096,1000,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9858057171577896,0.0016740941291956135
DOT,I,good_site_seeing,0.7015762334958692,0.096,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.982923372975183,0.002016985890318068
KECK,V,combined_seeing_0p7_plus_instrumental_center,0.7644789593521327,0.1185,30,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9471574671975015,0.0028650449420528357
KECK,V,combined_seeing_0p7_plus_instrumental_center,0.7644789593521327,0.1185,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9627241312983272,0.0024637802662634822
KECK,V,combined_seeing_0p7_plus_instrumental_center,0.7644789593521327,0.1185,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.968685894938731,0.00305767275128499
KECK,V,combined_seeing_0p7_plus_instrumental_center,0.7644789593521327,0.1185,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9893182459954143,0.0010238897654096524
KECK,V,combined_seeing_0p7_plus_instrumental_center,0.7644789593521327,0.1185,300,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9887193569790171,0.0005403868763819153
KECK,V,combined_seeing_0p7_plus_instrumental_center,0.7644789593521327,0.1185,300,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9782895996593682,0.0011978834216127554
KECK,V,combined_seeing_0p7_plus_instrumental_center,0.7644789593521327,0.1185,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9913467761449886,0.0004877661364081909
